Time,CompletionTime,SpatialError,AZIndex,IIndex,distance,boxSize,Action
49.8433,0,0,1,0,4,3,0.611,0.51,0.6418857,0.126
52.46851,1320.049,6.228,1,0,4,3,
54.1619,880.033,0,0,6,1,3,
56.04196,1133.372,0.304,1,0,2,4,
58.58872,1306.714,0.751,2,5,3,5,
61.49482,0,0,1,5,3,5,0.768,0.03,0.02837143,0.627
64.28225,1866.73,0,1,5,3,5,
66.589,1213.372,0,1,3,2,4,
75.77901,5000,50,2,2,4,3,
79.59487,0,0,0,1,1,3,0.392,0.474,0.8695428,0.01600001
81.44285,773.356,0.859,0,1,1,3,
83.32291,1146.703,7.631,1,3,2,4,
86.41636,1573.39,18.621,1,1,4,3,
88.6031,1146.705,0.368,1,4,3,5,
96.45337,0,0,1,6,1,3,0.843,0.75,0.1519429,0.427
98.23011,800.032,0,1,6,1,3,
102.0036,1693.391,10.935,2,2,3,5,
106.2571,2440.088,5.607,2,0,4,3,
108.4971,1346.709,0,0,7,2,4,
