Time,CompletionTime,SpatialError,AZIndex,IIndex,distance,boxSize,Action
17.2942,0,0,2,2,4,3,0.611,0.51,0.6418857,0.126
21.24074,1733.394,1.841,2,2,4,3,
23.14748,826.697,0,0,4,1,3,
25.54756,1133.374,0,1,1,3,5,
27.6543,1160.041,0,2,7,2,4,
30.81337,0,0,0,2,1,3,0.768,0.03,0.02837143,0.627
32.74781,813.363,0,0,2,1,3,
34.86789,1386.718,0,2,3,2,4,
37.88132,2093.407,0,1,5,4,3,
40.84143,1426.716,0,0,1,3,5,
48.67552,0,0,0,7,2,4,0.392,0.474,0.8695428,0.01600001
50.92178,1186.709,20.677,0,7,2,4,
52.41517,786.692,0.628,0,1,1,3,
54.2019,1040.033,1.02,0,4,3,5,
56.37531,1226.711,1.634,1,3,4,3,
59.54884,0,0,2,5,3,5,0.843,0.75,0.1519429,0.427
62.16218,1373.381,2.748,2,5,3,5,
64.26892,786.698,0,2,2,1,3,
67.04235,1680.062,0,2,6,2,4,
70.61581,2173.408,4.323,1,0,4,3,
73.65204,0,0,2,1,4,3,0.903,0.69,0.7951429,0.78
77.48271,1586.72,0.233,2,1,4,3,
79.49612,1213.382,1.034,2,0,3,5,
82.00287,1466.712,0,1,3,2,4,
83.64293,760.023,1.757,2,2,1,3,
90.78922,0,0,2,1,3,5,0.805,0.494,0.9570715,0.157
94.21663,1306.707,7.85,2,1,3,5,
96.77673,1386.718,0.67,2,4,2,4,
98.95013,920.033,0,2,2,1,3,
101.5902,1893.405,0.155,0,1,4,3,
106.7302,0,0,2,4,1,3,0.38,0.468,0.5419715,0.002999997
109.1238,893.364,0,2,4,1,3,
111.4306,1400.049,0.159,1,5,4,3,
113.9773,1013.365,0,2,0,2,4,
117.1908,1413.382,0,1,2,3,5,
132.2637,0,0,1,1,2,4,0.33,0.564,0.555,0.218
134.5114,1173.383,10.546,1,1,2,4,
136.1381,840.045,0,0,4,1,3,
138.6449,1253.367,0.445,2,0,4,3,
140.4849,1040.034,0.034,1,1,3,5,
