Time,CompletionTime,SpatialError,AZIndex,IIndex,distance,boxSize,Action
18.77448,0,0,0,0,0,0,53,48,52,25
20.9074,1240.043,1.675,1,6,3,5,
24.84087,1573.389,3.661,2,4,4,3,
26.89428,866.698,0,2,0,1,3,
29.48103,1160.039,0,2,2,2,4,
37.73585,0,0,2,2,2,4,22,27,67,70
41.09477,1600.057,0.771,1,3,4,3,
43.00151,760.03,1.385,1,7,1,3,
44.72157,920.034,0.545,1,1,2,4,
46.88164,1360.048,0,0,4,3,5,
66.95811,0,0,0,4,3,5,89,26,78,92
69.90911,1853.392,1.873,1,1,4,3,
72.02919,1200.042,0,2,1,2,4,
73.93592,1226.71,0.714,0,1,3,5,
75.49598,746.698,0.681,2,1,1,3,
