CompletionTime,SpatialError,D,K,Amplitude,Gap
0.1046387,0.90795,61,50,64,12
-0.5144315,1,76,2,2,62
0.5427536,-0.19795,39,47,86,1
-0.7239634,0.64645,90,68,79,78
-0.01916922,0.8488,80,49,95,15
-0.3620452,0.56625,37,46,54,0
0.1998856,0.99205,84,75,15,42
0.4951221,0.44875,33,56,55,21
