CompletionTime,SpatialError,D,K,Amplitude,Gap
0.3713194,0.89115,36,31,32,45
-0.1048905,0.9331,71,32,51,71
0.3046457,0.9287,32,55,28,33
0.1998807,0.9523,61,30,64,69
