CompletionTime,SpatialError,D,K,Amplitude,Gap
0.5903742,0.84365,76,2,2,62
-0.3429959,0.97955,61,50,64,12
0.1808371,-0.2186,39,47,86,1
-0.209647,0.60705,84,75,15,42
-0.00964495,0.5751,90,68,79,78
